conversation_id,response
4054327_50_1,Yes
4054327_50_2,Yes
4054582_82_1,Yes
4054582_82_2,No
4054686_22_1,No
4054686_22_2,Yes
4054686_35_1,No
4054686_48_1,No
4054686_48_2,Yes
4054746_7_1,Yes
4054746_7_2,No
4054798_68_1,No
4054798_68_2,No
4055222_35_1,Yes
4055222_35_2,Yes
4055224_113_2,No
4055259_90_1,No
4055259_90_2,Yes
4055570_209_2,Yes
4055585_10_1,Yes
4055585_10_2,Yes
4055603_103_1,No
4055603_103_2,No
4055603_15_1,No
4055603_15_2,No
4055603_31_1,No
4055603_31_2,Yes
4055603_45_1,No
4055603_45_2,No
4055638_29_1,Yes
4055639_56_1,No
4055639_56_2,No
4056213_24_1,No
4071501_53_1,No
4071501_53_2,No
4078014_39_1,No
4078014_39_2,No
4079053_56_1,No
4079053_56_2,No
4104575_59_2,No
4104667_21_1,Yes
4104703_80_1,No
4104703_80_2,No
4104715_77_1,No
4104715_77_2,No
4104715_98_1,No
4104715_98_2,No
4105122_38_1,Yes
4105122_38_2,No
4106180_65_1,Yes
4106180_65_2,No
4106180_79_1,No
4106180_79_2,No
4106600_32_1,Yes
4106600_32_2,Yes
4106660_25_1,No
4106660_25_2,No
4106734_113_1,No
4106734_113_2,Yes
4106739_76_1,No
4106739_76_2,Yes
4109090_51_1,Yes
4109090_51_2,Yes
4109111_15_1,No
4109111_15_2,Yes
4110409_27_1,No
4110409_27_2,No
4110409_42_1,No
4110409_42_2,No
4110423_27_1,No
4110589_12_1,Yes
4110589_61_1,Yes
4110589_61_2,Yes
4110653_19_1,No
4110653_19_2,No
4110653_56_1,No
4110653_56_2,No
4110653_70_1,No
4110653_70_2,No
4111481_50_1,No
4111720_30_1,Yes
4111720_30_2,No
4111720_63_1,Yes
4111720_63_2,No
4111720_8_1,Yes
4111721_76_1,No
4111721_76_2,No
4111721_89_2,No
4111828_8_1,No
4111828_8_2,Yes
4113439_21_1,No
4113439_21_2,No
4114606_89_1,No
4114606_89_2,No
4134490_35_1,No
4134490_35_2,No
4134665_64_1,No
4134665_64_2,No
4134665_71_1,No
4134665_71_2,Yes
4136413_50_1,Yes
4136413_50_2,No
4136413_98_1,No
4136413_98_2,No
4138450_23_2,Yes
4138548_19_1,No
4138548_19_2,No
4138677_40_1,No
4138769_45_1,No
4138769_45_2,Yes
4139067_72_1,Yes
4139067_72_2,No
4140692_15_1,No
4140692_15_2,No
4141276_34_1,No
4141276_34_2,Yes
4144916_113_1,No
4144916_113_2,No
4145096_55_1,No
4145096_55_2,Yes
4168516_19_1,No
4168829_47_1,No
4168829_47_2,Yes
4169950_31_1,Yes
4169950_31_2,No
4169995_30_1,Yes
4169995_30_2,Yes
4173639_26_1,Yes
4173639_26_2,Yes
4174334_62_1,No
4174334_62_2,No
4174334_65_1,Yes
4174334_65_2,No
4176036_21_1,No
4176036_21_2,No
4176036_35_1,No
4176036_35_2,No
4177924_72_1,Yes
4177924_72_2,No
4233171_67_1,Yes
4233171_67_2,Yes
4233340_58_1,Yes
4233340_58_2,Yes
4236544_59_1,Yes
4236544_59_2,Yes
4247191_37_1,No
4247191_37_2,Yes
4247410_101_1,Yes
4247410_101_2,Yes
4248691_51_1,No
4248691_51_2,No
4249946_42_1,No
4249946_42_2,No
4250127_28_1,No
4250127_28_2,No
4250131_122_1,No
4250131_122_2,Yes
4250131_63_1,No
4250131_63_2,No
4251632_39_1,Yes
4251632_39_2,No
4251976_20_1,Yes
4253239_46_1,Yes
4253239_46_2,Yes
4253946_62_1,No
4253946_62_2,No
4256694_6_1,No
4256694_6_2,No
4257656_59_1,No
4257656_59_2,No
4258634_19_1,No
4259825_31_1,Yes
4259825_31_2,No
4261380_15_1,Yes
4261380_15_2,Yes
4273168_71_1,No
4273168_71_2,No
4273568_173_1,Yes
4274038_74_1,No
4274038_74_2,No
4274213_164_1,Yes
4274213_164_2,Yes
4288776_44_1,Yes
4288776_44_2,Yes
4288819_9_1,Yes
4288819_9_2,No
4289415_22_2,No
4289668_27_1,Yes
4289668_27_2,No
4290454_38_1,No
4290454_38_2,Yes
4293213_83_1,No
4293213_83_2,No
4293222_6_1,No
4293222_6_2,Yes
4293480_89_2,Yes
4294482_65_1,Yes
4294482_65_2,No
4294482_89_1,Yes
4294482_89_2,No
4294755_60_1,No
4294755_60_2,Yes
4294762_110_1,No
4294762_110_2,Yes
4295637_66_1,No
4295637_66_2,No
4295762_17_1,No
4295762_17_2,Yes
4295762_26_1,No
4295762_26_2,No
4296165_23_1,No
4296165_23_2,Yes
4296261_23_1,No
4296261_23_2,No
4296295_38_1,Yes
4296295_38_2,No
4297343_63_1,No
4297343_78_2,Yes
5000001_3,No
5000002_2,No
5000002_3,No
5000002_4,No
5000003_3,No
5000003_5,No
5000004_2,No
5000005_2,No
5000005_3,No
5000006_1,No
5000006_2,No
5000006_3,Yes
5000007_1,No
5000007_2,No
5000007_3,No
5000007_5,No
5000008_2,No
5000008_5,No
5000009_4,No
5000009_5,No
5000010_1,No
5000010_2,No
5000010_3,No
5000010_4,No
5000011_3,No
5000011_5,No
5000012_1,No
5000012_3,Yes
5000013_1,No
5000013_4,Yes
5000014_1,Yes
5000015_2,No
5000016_2,No
5000016_3,No
5000016_5,No
5000017_4,Yes
5000018_1,No
5000018_2,No
5000019_2,No
5000019_4,No
5000020_5,No
5000021_2,No
5000021_3,Yes
5000022_2,No
5000023_1,No
5000023_3,No
5000024_5,No
5000025_2,Yes
5000025_4,No
5000025_5,No
5000026_2,No
5000026_3,No
5000026_4,No
5000027_1,Yes
5000027_5,No
5000028_1,No
5000028_4,No
5000028_5,No
5000029_1,No
5000029_3,Yes
5000029_5,No
5000030_1,No
5000033_5,No
5000035_1,No
5000035_2,No
5000035_4,No
5000036_3,Yes
5000036_5,No
5000037_1,No
5000038_3,No
5000039_2,No
5000040_2,No
5000040_4,No
5000041_4,Yes
5000042_1,No
5000042_2,Yes
5000043_3,No
5000044_2,No
5000044_5,Yes
5000045_4,No
5000045_5,No
5000046_1,No
5000046_2,No
5000047_1,No
5000047_2,No
5000047_4,No
5000048_1,No
5000048_3,No
5000048_5,No
5000049_1,No
5000049_2,No
5000049_3,No
5000050_2,No
5000050_4,No
5000051_3,No
5000052_1,No
5000052_3,No
5000053_2,No
5000053_3,No
5000053_4,No
5000054_2,No
5000054_5,No
5000055_2,Yes
5000055_4,No
5000055_5,No
5000056_1,No
5000056_4,Yes
5000056_5,Yes
5000057_3,Yes
5000058_1,No
5000059_1,Yes
5000059_2,Yes
5000060_2,No
5000061_2,No
5000061_3,No
5000062_3,No
5000064_1,No
5000064_2,No
5000064_4,No
5000065_2,No
5000065_3,No
5000066_2,Yes
5000066_5,No
5000067_1,Yes
5000067_2,Yes
5000068_1,No
5000068_5,No
5000069_1,No
5000070_5,Yes
5000071_3,No
5000071_4,No
5000071_5,No
5000072_4,No
5000073_3,No
5000074_3,No
5000074_5,Yes
5000075_4,Yes
5000076_4,No
5000077_2,Yes
5000078_4,No
5000078_5,No
5000079_5,No
5000080_4,Yes
5000081_2,No
5000082_2,No
5000082_5,No
5000083_2,No
5000083_5,No
5000084_1,No
5000084_2,No
5000084_3,No
5000086_3,No
5000086_5,No
5000087_2,No
5000087_4,No
5000088_2,No
5000088_4,No
5000089_2,No
5000089_3,No
5000089_4,No
5000090_4,No
5000091_4,No
5000092_2,No
5000094_2,Yes
5000094_4,No
5000096_4,No
5000097_1,No
5000097_5,No
5000098_3,No
5000099_3,No
5000099_4,No
5000100_2,No
5000101_1,No
5000101_4,No
5000102_1,Yes
5000102_4,No
5000102_5,Yes
5000103_1,Yes
5000103_2,No
5000104_1,No
5000104_5,No
5000105_4,No
5000106_2,No
5000106_5,No
5000107_4,No
5000107_5,No
5000108_5,No
5000110_2,No
5000111_3,Yes
5000111_5,No
5000112_2,No
5000112_5,No
5000113_3,No
5000113_4,No
5000114_1,No
5000114_4,No
5000115_1,No
5000115_4,No
5000116_4,No
5000116_5,No
5000117_1,No
5000117_5,No
5000118_4,No
5000119_2,No
5000119_4,Yes
5000120_1,No
5000120_2,No
5000121_5,No
5000122_1,Yes
5000122_4,No
5000122_5,No
5000123_1,No
5000123_2,No
5000123_3,No
5000124_3,Yes
5000124_4,No
5000124_5,No
5000125_2,No
5000125_3,No
5000126_4,No
5000126_5,Yes
5000127_2,No
5000127_4,No
5000128_3,No
5000129_2,No
5000130_1,Yes
5000130_3,Yes
5000131_3,No
5000131_5,No
5000132_1,No
5000132_3,Yes
5000132_5,Yes
5000133_2,Yes
5000133_3,No
5000134_3,No
5000135_2,No
5000135_3,No
5000135_5,No
5000137_1,Yes
5000137_2,No
5000138_1,No
5000138_5,Yes
5000139_2,No
5000139_4,No
5000140_3,No
5000140_4,No
5000141_1,No
5000141_2,No
5000141_5,No
5000142_3,Yes
5000143_2,Yes
5000143_3,No
5000144_3,No
5000144_5,No
5000145_4,No
5000146_1,Yes
5000147_2,No
5000147_3,No
5000147_5,No
5000148_1,No
5000148_2,No
5000148_5,No
5000149_2,No
5000149_4,No
5000150_1,No
5000151_3,No
5000152_3,No
5000153_5,No
5000154_1,No
5000154_2,No
5000154_3,No
5000155_3,Yes
5000155_4,Yes
5000156_2,No
5000156_3,No
5000156_5,Yes
5000157_1,No
5000157_4,Yes
5000158_3,No
5000159_4,Yes
5000159_5,No
5000161_1,No
5000162_4,No
5000163_4,No
5000163_5,No
5000164_1,No
5000164_3,No
5000165_1,No
5000165_3,Yes
5000166_2,No
5000166_3,No
5000166_4,No
5000167_1,No
5000168_2,No
5000168_4,No
5000169_1,No
5000169_5,No
5000170_3,Yes
5000170_4,No
5000171_2,Yes
5000171_5,No
5000172_1,No
5000173_2,No
5000173_3,No
5000174_3,No
5000174_5,No
5000175_1,Yes
5000175_3,No
5000175_4,No
5000176_4,No
5000177_4,No
5000178_4,No
5000179_1,No
5000179_5,Yes
5000180_4,No
5000180_5,No
5000181_1,No
5000181_2,Yes
5000182_1,No
5000182_2,No
5000183_1,No
5000185_1,No
5000186_1,Yes
5000186_2,No
5000187_4,No
5000188_1,No
5000188_3,No
5000190_3,No
5000191_2,Yes
5000191_4,No
5000192_2,No
5000192_3,Yes
5000192_4,No
5000193_4,Yes
5000193_5,No
5000194_1,No
5000194_5,No
5000195_1,No
5000195_3,No
5000195_4,No
5000196_1,No
5000196_2,No
5000197_4,No
5000198_1,No
5000199_1,Yes
5000199_4,No
5000200_5,No
5000201_3,Yes
5000201_5,Yes
5000202_3,Yes
5000203_1,No
5000203_2,No
5000204_3,No
5000205_5,No
5000206_3,No
5000207_1,Yes
5000207_2,No
5000207_4,No
5000207_5,No
5000208_3,No
5000208_5,No
5000209_1,No
5000209_4,No
5000210_1,No
5000210_4,Yes
5000210_5,No
5000211_1,No
5000211_2,No
5000211_3,Yes
5000211_5,No
5000212_1,No
5000212_2,Yes
5000212_3,No
5000212_5,No
5000213_3,Yes
5000213_5,No
5000214_4,No
5000214_5,No
5000215_1,No
5000215_5,No
5000216_3,No
5000216_4,No
5000218_3,No
5000218_4,No
5000219_3,No
5000220_1,Yes
5000220_2,Yes
5000221_1,No
5000221_4,No
5000222_4,No
5000222_5,No
5000223_1,Yes
5000223_3,No
5000224_1,No
5000224_2,No
5000225_5,Yes
5000226_5,No
5000227_1,Yes
5000228_4,No
5000229_3,No
5000229_4,Yes
5000230_2,Yes
5000230_3,No
5000231_1,No
5000231_3,No
5000232_1,Yes
5000232_2,No
5000232_4,No
5000232_5,No
5000234_4,Yes
5000234_5,No
5000235_2,No
5000236_1,No
5000236_2,No
5000236_4,No
5000236_5,No
5000237_4,No
5000237_5,No
5000238_2,Yes
5000238_3,No
5000239_3,No
5000240_1,No
5000240_4,No
5000241_3,No
5000241_5,No
5000242_1,No
5000242_2,No
5000242_3,No
5000243_1,No
5000243_2,No
5000243_3,No
5000245_2,No
5000246_3,Yes
5000246_4,Yes
5000246_5,No
5000248_3,No
5000248_5,No
5000250_1,No
5000252_4,Yes
5000253_1,No
5000254_1,No
5000254_4,No
5000254_5,No
5000255_2,No
5000256_3,No
5000256_5,Yes
5000257_1,No
5000257_3,No
5000257_4,No
5000258_5,No
5000259_5,Yes
5000260_4,No
5000261_1,No
5000261_4,No
5000262_4,No
5000262_5,No
5000263_2,No
5000264_2,No
5000264_3,No
5000264_5,No
5000265_1,No
5000265_4,No
5000266_1,No
5000266_3,No
5000266_4,No
5000267_2,No
5000267_3,No
5000268_1,No
5000268_4,No
5000268_5,No
5000269_1,No
5000269_3,Yes
5000269_4,No
5000270_4,No
5000271_1,No
5000271_2,No
5000272_3,No
5000273_1,No
5000274_3,No
5000274_4,No
5000275_1,No
5000275_4,No
5000276_1,No
5000276_4,No
5000277_3,Yes
5000277_4,Yes
5000278_4,No
5000278_5,No
5000279_1,No
5000279_3,Yes
5000280_1,No
5000281_2,No
5000282_3,No
5000282_4,Yes
5000282_5,No
5000283_1,No
5000283_4,No
5000284_2,No
5000284_3,No
5000285_1,No
5000285_2,No
5000285_3,No
5000286_5,Yes
5000287_3,Yes
5000287_4,No
5000288_3,No
5000288_5,No
5000289_1,No
5000290_4,No
5000290_5,No
5000291_1,No
5000292_1,No
5000292_2,Yes
5000292_3,Yes
5000293_4,No
5000296_1,No
5000296_2,No
5000296_5,No
5000297_1,No
5000297_5,No
5000298_1,No
5000298_2,No
5000298_3,No
5000299_1,No
5000299_5,No
5000300_2,No
5000300_4,No
5000301_3,Yes
5000302_1,No
5000303_2,No
5000303_3,No
5000304_2,Yes
5000304_5,No
5000305_2,No
5000306_4,No
5000306_5,No
5000307_1,No
5000307_2,No
5000307_4,Yes
5000308_1,No
5000308_2,No
5000308_5,No
5000309_1,No
5000309_2,No
5000310_2,No
5000310_5,No
5000311_1,No
5000311_3,No
5000311_4,No
5000313_3,No
5000314_1,No
5000314_2,No
5000314_3,No
5000314_5,No
5000315_2,No
5000315_3,No
5000315_5,No
5000316_1,No
5000316_2,No
5000317_3,No
5000318_1,No
5000318_3,No
5000318_5,No
5000319_2,No
5000319_3,No
5000319_5,No
5000320_4,No
5000321_2,No
5000321_4,No
5000321_5,No
5000322_5,No
5000323_3,Yes
5000323_4,No
5000324_1,No
5000324_4,No
5000325_2,No
5000325_3,Yes
5000326_1,No
5000326_3,No
5000327_1,Yes
5000327_3,No
5000327_4,No
5000328_1,No
5000328_5,No
5000329_3,No
5000330_1,No
5000331_1,No
5000332_4,No
5000332_5,No
5000333_2,Yes
5000333_5,No
5000334_3,No
5000335_2,No
5000335_5,No
5000336_3,No
5000336_5,No
5000337_2,No
5000338_1,No
5000338_4,Yes
5000338_5,No
5000339_3,No
5000339_5,No
5000340_1,No
5000341_3,No
5000341_5,No
5000342_4,No
5000344_1,No
5000344_4,No
5000345_2,No
5000345_3,Yes
5000346_3,No
5000348_5,No
5000349_1,No
5000349_2,No
5000349_3,No
5000350_1,No
5000350_5,No
5000351_1,No
5000352_4,No
5000352_5,No
5000353_1,No
5000353_2,Yes
5000353_3,No
5000354_4,Yes
5000354_5,Yes
5000355_3,No
5000355_5,No
5000356_3,Yes
5000356_4,No
5000356_5,No
5000357_3,Yes
5000357_5,No
5000358_1,No
5000358_2,Yes
5000358_3,No
5000360_2,No
5000360_3,No
5000361_2,No
5000361_3,No
5000361_4,No
5000362_3,No
5000362_5,No
5000363_3,No
5000363_5,No
5000364_2,No
5000364_4,No
5000365_1,No
5000365_3,No
5000366_2,No
5000366_5,No
5000367_3,No
5000368_1,No
5000368_3,No
5000369_2,No
5000370_2,No
5000371_1,Yes
5000371_3,Yes
5000372_1,No
5000372_3,No
5000373_2,Yes
5000374_1,Yes
5000374_2,No
5000374_4,No
5000375_3,No
5000375_4,No
5000376_4,No
5000377_1,No
5000378_2,No
5000378_3,No
5000379_1,No
5000379_2,No
5000379_3,No
5000380_2,No
5000380_4,No
5000380_5,No
5000381_2,No
5000381_4,No
5000381_5,No
5000382_1,Yes
5000382_2,Yes
5000382_3,No
5000383_1,No
5000383_4,No
5000386_1,No
5000386_2,No
5000386_4,Yes
5000388_2,Yes
5000388_4,No
5000388_5,No
5000389_1,No
5000389_2,No
5000389_5,No
5000390_2,No
5000390_4,No
5000390_5,No
5000391_2,No
5000391_5,Yes
5000392_3,No
5000392_5,No
5000394_1,No
5000394_4,No
5000394_5,No
5000395_1,No
5000395_4,No
5000396_2,No
5000396_5,No
5000398_1,No
5000398_3,No
5000399_2,No
5000400_2,No
5000400_3,No
5000400_4,No
5000401_3,Yes
5000402_5,No
5000403_1,No
5000403_3,No
5000403_4,No
5000403_5,No
5000404_3,No
5000405_3,No
5000405_4,Yes
5000406_5,No
5000407_3,Yes
5000408_3,No
5000408_5,No
5000409_2,No
5000409_5,No
5000410_2,No
5000410_3,No
5000411_4,No
5000411_5,No
5000412_1,No
5000412_2,No
5000412_3,No
5000413_1,No
5000413_3,No
5000413_5,No
5000414_2,No
5000414_5,No
5000415_1,No
5000415_2,No
5000415_4,No
5000416_1,No
5000416_4,No
5000417_4,No
5000417_5,Yes
5000418_2,No
5000419_1,No
5000419_3,No
5000420_5,No
5000421_2,No
5000421_4,No
5000422_2,No
5000422_3,Yes
5000422_5,No
5000424_1,No
5000425_2,No
5000425_4,No
5000426_1,Yes
5000426_2,No
5000426_4,No
5000426_5,No
5000427_3,No
5000428_4,Yes
5000428_5,No
5000430_2,No
5000430_3,No
5000430_4,No
5000430_5,No
5000431_3,No
5000431_4,No
5000432_5,No
5000433_5,Yes
5000434_3,No
5000435_5,No
5000436_1,Yes
5000436_3,No
5000436_4,No
5000438_1,No
5000438_3,No
5000438_5,No
5000439_2,No
5000439_4,No
5000439_5,No
5000440_2,No
5000441_1,No
5000441_5,No
5000442_4,No
5000442_5,Yes
5000443_1,No
5000443_5,No
5000444_2,No
5000444_4,No
5000444_5,No
5000445_1,No
5000445_2,No
5000445_3,No
5000446_5,No
5000447_5,Yes
5000448_1,No
5000448_2,No
5000448_3,No
5000449_1,No
5000450_1,No
5000450_3,No
5000450_5,No
5000451_1,No
5000451_4,No
5000453_1,No
5000453_5,Yes
5000454_3,No
5000454_4,No
5000455_3,No
5000456_2,No
5000456_3,No
5000456_5,No
5000457_1,No
5000457_2,No
5000457_3,No
5000458_4,No
5000458_5,No
5000459_2,No
5000459_5,No
5000460_5,Yes
5000461_3,No
