conversation_id,text,response
2856156_34_2,TUTOR: Now we need to find the total number of right angles. STUDENT: ok TUTOR: What is the sum of 2+0+1+1? STUDENT: 3 TUTOR: Are you sure? Can you double-check your addition?,No
2856167_175_1,TUTOR: Please solve the problem. STUDENT: done TUTOR: Is that your answer? STUDENT: yes TUTOR: Please recheck your work. Is that your final anwer?,No
2856167_175_2,"TUTOR: Please solve the problem. STUDENT: done TUTOR: Is that your answer? STUDENT: yes TUTOR: That is a good try, let's work this problem together.  What is a shape with four sides?",Yes
2856167_18_2,"TUTOR: That's really correct answer. TUTOR: Plus 1 point added in your total. TUTOR: Are all the sides of the playground straight? STUDENT: no TUTOR: Hmm, I think this question is asking about the individual sides of the playground. Let's take a look at just the left side. Is the left side straight?",No
2856167_86_1,"TUTOR: Parallelograms, rectangles, squares, and rhombuses all have 2 pairs of parallel sides. TUTOR: A trapezoid is a four sided shape with only 1 pair of parallel sides. TUTOR: What type of quadrilateral is the pool? STUDENT: pentagon TUTOR: That's good try. The correct answer is a trapezoid. A trapezoid is a quadrilateral with at least one pair of parallel sides. Do you understand?",Yes
2856167_86_2,"TUTOR: Parallelograms, rectangles, squares, and rhombuses all have 2 pairs of parallel sides. TUTOR: A trapezoid is a four sided shape with only 1 pair of parallel sides. TUTOR: What type of quadrilateral is the pool? STUDENT: pentagon TUTOR: A pentagon has five sides so that would not be the correct answer. Does the shape have one pair of parallel sides?",No
2856205_121_1,TUTOR: Plus one point for you. TUTOR: Here is your next problem. TUTOR: Is that your final answer? STUDENT: 1 an 3 TUTOR: That was a good try. Figure one has no parallel sides. The trapezoid has one pair of parallel sides. So figure 3 is the only trapezoid. Plus one point for your active participation. Give this one a shot.,Yes
2856205_78_1,"TUTOR: Okay, here comes the next one. STUDENT: done TUTOR: Is that your final answer? STUDENT: yes TUTOR: That was a good try.",Yes
2856205_78_2,"TUTOR: Okay, here comes the next one. STUDENT: done TUTOR: Is that your final answer? STUDENT: yes TUTOR: Great try! Why did you choose that shape?",Yes
2856614_71_1,"TUTOR: Please read the question carefully. TUTOR: What we are asked to do here? TUTOR: Are you still connected with me in session? STUDENT: im ser TUTOR: That was a good try. Let me explain it to you. We are asked to find the length of the red line. The red line is marked from 31 to 40. So, the length of the red line is 10. Did you understand that part?",Yes
2856614_71_2,TUTOR: Please read the question carefully. TUTOR: What we are asked to do here? TUTOR: Are you still connected with me in session? STUDENT: im ser TUTOR: ok great. Can we find the length of this segment?,No
2879167_39_1,TUTOR: The 100s position is underlined in blue. TUTOR: We are asked to round the value 1551 to the nearest 100. TUTOR: The 5 in the hundreds column should ROUND UP to which number? STUDENT: 1500 TUTOR: That was a very good try! Plus 1 point for you. Your answer is incorrect. Let me help you with that. We round the number up to the nearest hundred if the last two digits in the number are 50 or above.,Yes
2879167_39_2,"TUTOR: The 100s position is underlined in blue. TUTOR: We are asked to round the value 1551 to the nearest 100. TUTOR: The 5 in the hundreds column should ROUND UP to which number? STUDENT: 1500 TUTOR: Hmm, not quite. Do you know when we're supposed to round up and when we're supposed to round down?",No
2879185_27_1,"TUTOR: Let's get started. TUTOR: We have to round 2,458 to the nearest hundred. TUTOR: Is that your final answer? STUDENT: yes TUTOR: That was a good try. 1 point for that. Let me explain it to you.",Yes
2879185_27_2,"TUTOR: Let's get started. TUTOR: We have to round 2,458 to the nearest hundred. TUTOR: Is that your final answer? STUDENT: yes TUTOR: Good try! But your answer is incorrect - since we want to round to the hundred we should look at the hundreds place. Can you tell me what number is in the hundreds place?",No
2879218_70_1,"TUTOR: Not to worry, [STUDENT]. STUDENT: okay TUTOR: What is the place value of two in 204,530? STUDENT: ten millions? TUTOR: This is a very good try.",Yes
2879218_70_2,"TUTOR: Not to worry, [STUDENT]. STUDENT: okay TUTOR: What is the place value of two in 204,530? STUDENT: ten millions? TUTOR: 2, 0, and 4 are all in the ""thousands"" section. Do you want to try again?",No
2879242_61_1,"TUTOR: They asked to find what is equal to 40 hundreds. TUTOR: First we want to recognize place value in a blank chart. TUTOR: What value is in the hundreds place in the chart below? STUDENT: done  TUTOR: Excellent work!+1 point for your effort. Hundred always have two zeros. We want to rewrite the number that the question asks for in words. How could you write 40 hundred? Well try!+1 point for your effort. If you write 40 and then add two zeros, it would show 40 hundred.",Yes
2879242_61_2,"TUTOR: They asked to find what is equal to 40 hundreds. TUTOR: First we want to recognize place value in a blank chart. TUTOR: What value is in the hundreds place in the chart below? STUDENT: done  TUTOR: Yes, well done!",Yes
2894376_13_1,"TUTOR: Good start!! STUDENT: 21372 TUTOR: Is this your final answer? STUDENT: yes TUTOR: That was a good try. Let me help you with that. The value of 6 - 4 is 2. Here, the bottom number is larger than the upper number.",No
2894783_32_1,TUTOR: Are you working on this question? STUDENT:  TUTOR: How many sides does the figure have? STUDENT: 6 TUTOR: Your answer is incorrect6. *Your answer is incorrect. The figure has five sides.,No
2894783_32_2,"TUTOR: Are you working on this question? STUDENT:  TUTOR: How many sides does the figure have? STUDENT: 6 TUTOR: Hm, could you take another look?",No
2894825_52_1,"STUDENT: It has 4 side TUTOR: Yes, The given shape has four sides. TUTOR: Do the given sides of shape are equal? STUDENT: yes TUTOR: That was a good try. The sides of the given shape are not equal. What is the name of the given shape?",No
2894825_52_2,"STUDENT: It has 4 side TUTOR: Yes, The given shape has four sides. TUTOR: Do the given sides of shape are equal? STUDENT: yes TUTOR: Hm, not quite. Take a look at the side on top. Notice how it's shorter than the side on the bottom?",No
2894845_58_1,STUDENT: two???? STUDENT: no three TUTOR: Is that you final answer? STUDENT: yes?? TUTOR: That's a good try. But your answer is incorrect.,No
2894845_58_2,"STUDENT: two???? STUDENT: no three TUTOR: Is that you final answer? STUDENT: yes?? TUTOR: You seem unsure, and that's ok! Let's look at another example. If the sides of the rectangle are 3 and 5, we multiply those together to get the area, which would be 15.",Yes
2894869_50_1,"STUDENT: 4 TUTOR: Good job, plus one point. TUTOR: Are the sides equal? STUDENT: yes TUTOR: That was a good try.",Yes
2894869_50_2,"STUDENT: 4 TUTOR: Good job, plus one point. TUTOR: Are the sides equal? STUDENT: yes TUTOR: Great try! If all sides are equal that means they are all the same size.",Yes
2894872_74_1,TUTOR: We are running out of time. STUDENT: ok bye TUTOR: Do you have questions regarding this lesson? STUDENT: no see you tomorow TUTOR: Thank you for your efforts today! Please fill in the feedback form as you leave. See you next time  Take care [STUDENT]. Bye.,Yes
2894872_74_2,TUTOR: We are running out of time. STUDENT: ok bye TUTOR: Do you have questions regarding this lesson? STUDENT: no see you tomorow TUTOR: Ok. Please make sure to fill out the survey as you leave,No
2895004_27_1,"TUTOR: It does not have depth. STUDENT: right TUTOR: If Pablo wants to know how big the surface of his garden is, what should he measure? STUDENT: the perimiter TUTOR: That was a good try. Plus 1 point for your amazing effort.",Yes
2895004_27_2,"TUTOR: It does not have depth. STUDENT: right TUTOR: If Pablo wants to know how big the surface of his garden is, what should he measure? STUDENT: the perimiter TUTOR: Great try! Perimeter would measure the amount of fence he needs to fence in the garden. We want to measure the amount of space inside the garden.",Yes
2895049_24_1,"TUTOR: Perimeter refers to the boundary of a closed plane figure. TUTOR: Or the perimeter is the distance around the object. TUTOR: What is the question asking us to do? STUDENT: so it would be 7 + 5 TUTOR: That was a good try. You have earned 2 points for your good efforts. Let me help you to solve this question. First, we start by finding all the sides of the garden. Because it is a rectangle, the opposite sides are congruent. That means same length.",Yes
2895097_49_1,TUTOR: Please go ahead and Give it your best shot! TUTOR: Good job! Keep going. TUTOR: Are you working on this question? STUDENT: yep is it 8 TUTOR: That's a good try. Plus 1 point for your good try. This is your next exit ticket question. Give it your best shot! Great effort so far! Keep going. That is correct! 3 Points Well Earned.,Yes
2895097_49_2,TUTOR: Please go ahead and Give it your best shot! TUTOR: Good job! Keep going. TUTOR: Are you working on this question? STUDENT: yep is it 8 TUTOR: How many cups are in a quart? You can use your conversion table to help.,No
2895106_109_1,"TUTOR: Examples: triangles, rectangles and pentagons. TUTOR: An obtuse angle is an angle that is more than 90 degrees. TUTOR: What is the name of a 5 sided polygon? STUDENT: a octogon TUTOR: Try to recheck your answer. Go through the given examples and give your correct answer. Do you want me to help you with it?",No
2898666_60_1,"TUTOR: Notice that the exponent is 5 and there are 5 tens being multiplied. TUTOR: So, we need to evaluate the value of the number. TUTOR: What is the value of 10 x 10 x 10 x 10 x 10? STUDENT: 210 TUTOR: That was a good try! Therefore, the value of 10 x 10 x 10 x 10 x 10 is 100,000.",Yes
2898666_60_2,"TUTOR: Notice that the exponent is 5 and there are 5 tens being multiplied. TUTOR: So, we need to evaluate the value of the number. TUTOR: What is the value of 10 x 10 x 10 x 10 x 10? STUDENT: 210 TUTOR: Let's recheck that answer using our calculator. I would like for you to put this problem in your calculator. What is your answer?",No
2898670_106_1,"TUTOR: Now it's time for you to prove you've mastered this lesson! TUTOR: Please go ahead and answer this question. TUTOR: Is that your final answer? STUDENT: si TUTOR: It looks like your answer is incorrect. Plus 1 point for your try. Let's move on to the next question. If we have time at the end, we can go through the problems together  Give it your best shot.",No
2898670_106_2,"TUTOR: Now it's time for you to prove you've mastered this lesson! TUTOR: Please go ahead and answer this question. TUTOR: Is that your final answer? STUDENT: si TUTOR: Ah, not quite. Here, take a look at this place value chart: https://www.shutterstock.com/image-vector/place-value-chart-blank-template-260nw-2023023992.jpg Notice how the 9 in our question is positioned three from the right In the place value chart, what place value is third from the right?",No
2898670_114_1,TUTOR: Give it your best shot. STUDENT:  TUTOR: Are you working on this question? STUDENT: si TUTOR: It looks like your answer is incorrect. Plus 1 point for your try. We are running out of time. Let's continue this in the next session. Great job engaging in today's lesson. Thanks for choosing F E V Tutor and we look forward to work with you in the next class.,Yes
2898670_114_2,TUTOR: Give it your best shot. STUDENT:  TUTOR: Are you working on this question? STUDENT: si TUTOR: Which place value is the 9 in 925?,No
2898670_27_1,"TUTOR: Since Marc had 90 hundreds blocks, we will write a number with 90 in the hundreds place. TUTOR: Why can't we have a two-digit number in one place value? TUTOR: Do you need any help to answer this question? STUDENT: no TUTOR: It looks like your answer is incorrect. Not to worry, I'm here to help you. Each place value can only have a value from 0-9. If there is a number greater than that, the value is carried to the next place value. Where do we put commas in large numbers? Are you working on this question?",No
2898670_27_2,"TUTOR: Since Marc had 90 hundreds blocks, we will write a number with 90 in the hundreds place. TUTOR: Why can't we have a two-digit number in one place value? TUTOR: Do you need any help to answer this question? STUDENT: no TUTOR: Ok, take your time",No
2898671_110_1,TUTOR: We are left with 2 more minutes in the session. TUTOR: Give it your best shot! TUTOR: Is that your final answer? STUDENT: yes TUTOR: +1 point for your effort. Let us review this question quickly.,No
2898671_110_2,"TUTOR: We are left with 2 more minutes in the session. TUTOR: Give it your best shot! TUTOR: Is that your final answer? STUDENT: yes TUTOR: Great try! When we round, if the tenths place value is 5 or more we round up, otherwise we leave the number the same. Since we have 5.4 we should round that to 5. Do you understand?",Yes
2898683_32_1,STUDENT: ok TUTOR: Okay. TUTOR: What is your final answer? STUDENT: 900 TUTOR: That was a good try. Does that step make sense?,Yes
2898683_32_2,"STUDENT: ok TUTOR: Okay. TUTOR: What is your final answer? STUDENT: 900 TUTOR: Great try. The 9 in 3921 represents 900, but what is its place value?",Yes
2898683_72_1,"TUTOR: Try to figure it out, and I can help you along the way. STUDENT: ok TUTOR: Where is the tens place? STUDENT: she would have 1,200 TUTOR: That was a good try. We have to add tens after 200.",Yes
2898683_72_2,"TUTOR: Try to figure it out, and I can help you along the way. STUDENT: ok TUTOR: Where is the tens place? STUDENT: she would have 1,200 TUTOR: Great try! She would have 1,200, but where is the tens place?",Yes
2898695_31_1,"TUTOR: Are you working on this question? TUTOR: I can't hear you, Ivan. TUTOR: Ivan, are you there with me in the session? STUDENT: well they both have to 2 but the other one is different because the first two  the other one has 204 TUTOR: Good effort. Plus 1 point for your effort. The thousand places is direct to the left of the first comma. So, the number 2 in 2,453 is in the thousands place. Does that step make sense?",Yes
2898695_31_2,"TUTOR: Are you working on this question? TUTOR: I can't hear you, Ivan. TUTOR: Ivan, are you there with me in the session? STUDENT: well they both have to 2 but the other one is different because the first two  the other one has 204 TUTOR: Great try! How are they different?",Yes
2898719_80_1,"TUTOR: Now, write the place values on the whiteboard. TUTOR: Good job! Plus 1 point. TUTOR: How many thousands are there in 2000? STUDENT: 1 TUTOR: Good effort!",Yes
2898719_80_2,"TUTOR: Now, write the place values on the whiteboard. TUTOR: Good job! Plus 1 point. TUTOR: How many thousands are there in 2000? STUDENT: 1 TUTOR: Hm, not quite. What I mean to say is, how many times can 1000 go into 2000?",No
2898733_18_1,"TUTOR: Well done. Plus 1 point for your work. STUDENT: My name is Kiara TUTOR: Did you notice that you just scored a point in the top right corner? STUDENT: no TUTOR: The more effort you show, the more points I can add to your scoreboard. That will show you at the top right corner. The Text tool allows you to type in text on the whiteboard. Try using the text tool to type 'Hi' on the whiteboard. Are you working on that part?",No
2898733_18_2,TUTOR: Well done. Plus 1 point for your work. STUDENT: My name is Kiara TUTOR: Did you notice that you just scored a point in the top right corner? STUDENT: no TUTOR: Ok great - in the corner you can see your points add up.,Yes
2898754_37_1,"TUTOR: It is our next question. STUDENT: ok TUTOR: How can we solve this question? STUDENT: conting by five TUTOR: This is a good try. Let me explain it to you. In this question, the base number is 10 and the exponents is 5. We can say like ten to the fifth power.",Yes
2898754_37_2,"TUTOR: It is our next question. STUDENT: ok TUTOR: How can we solve this question? STUDENT: conting by five TUTOR: No, not quite. The 5 doesn't mean you count by 5. It means how many times the number to the left of it is multiplied by itself In this example, the number to the left of it (called the base) is 10. So 10^5 means we need to multiply 10 by itself 5 times: 10 x 10 x 10 x 10 x 10 Could you give that a try on the calculator please?",No
2900612_47_1,TUTOR: That's great! TUTOR: Keep Going! TUTOR: What is the answer? STUDENT: 9050 TUTOR: Please recheck your work once again. Your answer is quite not correct. Are you there with me in the session? Please let me know your presence.,No
2900612_47_2,TUTOR: That's great! TUTOR: Keep Going! TUTOR: What is the answer? STUDENT: 9050 TUTOR: Can you show your work on the whiteboard?,No
2900622_138_1,"TUTOR: What would be the answer to this question? STUDENT: #1 TUTOR: Is that your final answer, [STUDENT]? STUDENT: ya TUTOR: But it looks like your answer is incorrect. Recheck your work.",No
2900622_138_2,"TUTOR: What would be the answer to this question? STUDENT: #1 TUTOR: Is that your final answer, [STUDENT]? STUDENT: ya TUTOR: Hmm, not quite. This question wants us to pick the rhombus out of the available answer choices. Do you remember what a rhombus is?",No
2900622_172_1,TUTOR: Go ahead and give it a shot. STUDENT: done TUTOR: How could you check that your answer is correct? STUDENT: 2 equal angles TUTOR: Your answer is incorrect. Recheck your work.,No
2900622_172_2,"TUTOR: Go ahead and give it a shot. STUDENT: done TUTOR: How could you check that your answer is correct? STUDENT: 2 equal angles TUTOR: Ah, you're on the right track. A trapezoid could have 2 equal angles, but doesn't have to  A trapezoid is any quadrilateral that has exactly 1 pair of parallel sides",No
2900622_55_1,TUTOR: Go ahead and solve this question. STUDENT: done TUTOR: What are the characteristics of a square? STUDENT: it has 4 sides it is a paralellagram TUTOR: That was a good try. You've earned 1 point for your active participation.,Yes
2900622_55_2,TUTOR: Go ahead and solve this question. STUDENT: done TUTOR: What are the characteristics of a square? STUDENT: it has 4 sides it is a paralellagram TUTOR: That's right! Any other characteristics that a square needs to have?,Yes
2900642_15_1,TUTOR: I'll help you with this question. TUTOR: We are asked to round the value to nearest ten. TUTOR: What is the number is in tens place? STUDENT: 2 TUTOR: That is a good try.,Yes
2900642_15_2,TUTOR: I'll help you with this question. TUTOR: We are asked to round the value to nearest ten. TUTOR: What is the number is in tens place? STUDENT: 2 TUTOR: Great try! 2 is actually in the ones place. The next place to the right is the tens place.,Yes
2900864_55_1,TUTOR: Your answer is correct. TUTOR: Plus one point for your correct answer. TUTOR: What will the 4 in 346 become when we borrow from the hundreds column? STUDENT: 4 TUTOR: That was a good try. If we borrow from hundreds place the 4 will be the 14. What is 14- 8? Are you there with me in the session?,No
2900864_55_2,"TUTOR: Your answer is correct. TUTOR: Plus one point for your correct answer. TUTOR: What will the 4 in 346 become when we borrow from the hundreds column? STUDENT: 4 TUTOR: If we have to borrow, we will have one less that what was previously there. What is one less than 4?",No
2900916_26_1,"TUTOR: I am glad that you initiated to solve the question. STUDENT: great TUTOR: Is that your final answer? STUDENT: I think TUTOR: Well tried, but your answer is incorrect. No worries, let me explain this question to you.",No
2900916_26_2,"TUTOR: I am glad that you initiated to solve the question. STUDENT: great TUTOR: Is that your final answer? STUDENT: I think TUTOR: Hmm, not quite. This question is asking us to round 18 to the nearest tens. Do you know how to tell whether we need to round up or round down?",No
2900983_52_1,"TUTOR: Please check the question once. TUTOR: The factors are 24 and 86. TUTOR: What is the formula for finding the area of a rectangle? STUDENT: multiplying TUTOR: That was a very good try. To find the area of the rectangle we use A = l x w. A stands for the area, l stands for length, and w stands for width.",Yes
2900983_52_2,TUTOR: Please check the question once. TUTOR: The factors are 24 and 86. TUTOR: What is the formula for finding the area of a rectangle? STUDENT: multiplying TUTOR: Yes you're right - you need to multiply! What should we multiply to find the area of a rectangle?,Yes
2901013_26_1,STUDENT: done\\ TUTOR: Amazing work! +1 point for your work. TUTOR: How many paper plates does a company makes? STUDENT: 12600 TUTOR: Well try!+1 point for your effort. A company makes 840 paper plates.,No
2901013_26_2,STUDENT: done\\ TUTOR: Amazing work! +1 point for your work. TUTOR: How many paper plates does a company makes? STUDENT: 12600 TUTOR: Great try! You'll want to divide 10080 by 2,Yes
2901019_23_1,"TUTOR: A quadrilateral is a shape with four sides. TUTOR: Since both drawings are quadrilaterals, they both have four sides and four angles. TUTOR: What is a rectangle? STUDENT: done TUTOR: Your answer is incorrect. Let me explain it to you. A rectangle is a quadrilateral with two sets of parallel lines.",No
2913327_21_2,"TUTOR: Use the chat box to answer this question. STUDENT: it is 9 TUTOR: Is that your final answer? STUDENT: yes TUTOR: Hmm, not quite. Could you let me know how you got 9?",No
2915943_61_1,TUTOR: Pablo was asked to divide shapes into 8 equal parts. TUTOR: Option A is the correct answer. TUTOR: Did you get it? STUDENT: yes TUTOR: +1 point for your effort. Here is your first exit ticket question. Read the question carefully. Explain your answer on the whiteboard.,No
2915969_42_1,TUTOR: What times 13 gives us 39? STUDENT: ok TUTOR: What is the value of 13 times 3? STUDENT: 19 TUTOR: That's a good try. Multiplication is also called as repeated addition.,Yes
2915969_42_2,TUTOR: What times 13 gives us 39? STUDENT: ok TUTOR: What is the value of 13 times 3? STUDENT: 19 TUTOR: Great try! Remember that with multiplication you cannot just multiply the tens digit and the ones digit.,Yes
2915991_50_1,"STUDENT: thank you TUTOR: You are welcome. TUTOR: Is the playground a square? STUDENT: yes TUTOR: Your answer is incorrect. A square has 4 sides, but all of the inside angles are right angles.",No
2916152_31_1,"TUTOR: Here, the value of 6 in the given number is more than 5. TUTOR: So, we need to round the value 7. TUTOR: Do you have any questions about that part? STUDENT: millions TUTOR: That was a good try. Plus 1 point for your effort. Let me explain it to you. We need to round the value nearest to ten-thousand. Here, 7 is in the ten-thousands place value. We are going to round the value 7 nearest to the ten-thousands value.",Yes
2916152_31_2,"TUTOR: Here, the value of 6 in the given number is more than 5. TUTOR: So, we need to round the value 7. TUTOR: Do you have any questions about that part? STUDENT: millions TUTOR: Ok, ask away!",No
2916162_68_1,TUTOR: We need to subtract 6 from 15. STUDENT: oh okay... TUTOR: What is the value of 15 - 6? STUDENT: it is 11? TUTOR: That was a good effort.,Yes
2916162_68_2,"TUTOR: We need to subtract 6 from 15. STUDENT: oh okay... TUTOR: What is the value of 15 - 6? STUDENT: it is 11? TUTOR: Ah, almost! Here's how we can know for sure We start at 15 and we need to go down 6. So let's count down 6 numbers from 15 14, 13, 12, 11, 10, 9",No
2916172_42_1,STUDENT: B TUTOR: We are left with 5 more minutes in the session. TUTOR: Is that your final answer? STUDENT: yes TUTOR: +1 point for your effort. I will review this question at the end of the session. Let's move on to the next question.,No
2916172_42_2,"STUDENT: B TUTOR: We are left with 5 more minutes in the session. TUTOR: Is that your final answer? STUDENT: yes TUTOR: Great try! Let's try to think of this as an array. If you have 3 rows of 2 items each, how many total items would you have?",Yes
2916237_15_1,TUTOR: Explain how you got your answer. STUDENT: wat  i did is that  ther is a 4 on the botem that meens ther shood be a 4 on the top TUTOR: Are you there? STUDENT: yes TUTOR: That was  a good try.,Yes
2916237_15_2,TUTOR: Explain how you got your answer. STUDENT: wat  i did is that  ther is a 4 on the botem that meens ther shood be a 4 on the top TUTOR: Are you there? STUDENT: yes TUTOR: ok great start. We only can do that when we know the two sides are equal.,Yes
2916282_36_1,"STUDENT: yes TUTOR: So, we wan to start with the first 2 digits. TUTOR: What is the value of 5 * 14? STUDENT: 75 TUTOR: Well try!+1 point for your effort. Please, have a look at the board.",Yes
2916282_36_2,"STUDENT: yes TUTOR: So, we wan to start with the first 2 digits. TUTOR: What is the value of 5 * 14? STUDENT: 75 TUTOR: Great try! When you multiply make sure you multiply the ones and then carry the tens!",Yes
2916342_42_1,"TUTOR: Let's move on to the next question. TUTOR: In this question, we need to find out the value of seven in 37,984 TUTOR: What is the value of 7? STUDENT: 2,000? TUTOR: That was a good try. 7 is in the thousands place. I have received your notification. Let me know your question.",Yes
2916342_42_2,"TUTOR: Let's move on to the next question. TUTOR: In this question, we need to find out the value of seven in 37,984 TUTOR: What is the value of 7? STUDENT: 2,000? TUTOR: Hmm, you're on the right track. It's in the thousands place. We can just say thousands, but it would be wrong to say 2,000",No
2916344_10_1,"TUTOR: Here is the first question. TUTOR: In this question, we are asked to find the two, how to vary in 2,453 and 204,530. TUTOR: What is the place value of 2 in 2453? STUDENT: hudris TUTOR: That is a good try! One point. The place value of 2 in 2453 is thousands.",Yes
2916344_10_2,"TUTOR: Here is the first question. TUTOR: In this question, we are asked to find the two, how to vary in 2,453 and 204,530. TUTOR: What is the place value of 2 in 2453? STUDENT: hudris TUTOR: Great try, but not quite! In 2,453, 4 is in the hundreds spot. What about the 2?",Yes
2916344_54_1,"TUTOR: So, the answer is 2 thousands blocks. TUTOR: Here you go! TUTOR: What is the value of 5 in 2,593? STUDENT: hudrid TUTOR: Your final answer is just a little bit off. The place value of 5 in 2,593 is hundreds. The value of 5 in 2,593 is 500. Good! Plus 2 points. ""We are left with 8 minutes in the session. Let's move on to the Exit Ticket Section."" There are 3 questions.",Yes
2916359_55_1,"TUTOR: Okay. TUTOR: At 1255, the hour hand is very close to the 1 because it's almost 1'0 clock. TUTOR: What time is it on the clock? STUDENT: 11:01 TUTOR: That was a very goo deffort. The clock show 12:55. Is that make sense to you?",Yes
2916359_55_2,"TUTOR: Okay. TUTOR: At 1255, the hour hand is very close to the 1 because it's almost 1'0 clock. TUTOR: What time is it on the clock? STUDENT: 11:01 TUTOR: Let me draw on the whiteboard what 11:01 would look like",No
2916378_26_1,"TUTOR: The GCF is the variable 'b' as each term shares this factor. TUTOR: Determine if the terms share a GCT and factor it out. TUTOR: What is the constant term? STUDENT: a TUTOR: That was a very good try. Here, the constant terms is -8. The constant term is -8.* Sorry for the typo.",Yes
2916378_26_2,"TUTOR: The GCF is the variable 'b' as each term shares this factor. TUTOR: Determine if the terms share a GCT and factor it out. TUTOR: What is the constant term? STUDENT: a TUTOR: Ah, not quite. Constant just means the number that doesn't have a letter after it. Also, I apologize for the typo above. I meant to say GCF and not GCF. Do you see any number in this expression that does not have a letter after it?",No
2916378_34_1,"STUDENT: oh, okay TUTOR:  TUTOR: What are the factors of -8? STUDENT: b TUTOR: That was a very good efforts, [STUDENT]. Let me explain it to you. Did you understand what I said?",Yes
2916378_34_2,"STUDENT: oh, okay TUTOR:  TUTOR: What are the factors of -8? STUDENT: b TUTOR: No, not quite. What I mean to say is, what are some whole numbers that multiply to equal -8? For example, the factors of 10 would be 2 and 5 (because 2 x 5 = 10) and 1 and 10 (because 1 x 10 = 10)",No
2916378_53_2,"TUTOR: Did you understand what I did? STUDENT: yes TUTOR: Based on the factor 4, what will be one of the binomials in the factored form? STUDENT: -2 and 8 TUTOR: Ah, not quite. Remember that once you get the factors, the answer will be in the form (x+a)(x+b), where a and b are your two factors. x just stays as x So for example, if your two factors were -6 and 10, your answer would be (x-6)(x+10) Knowing this, could you give it another shot? Our factors are 4 and 2 Oops, 4 and -2",No
2916421_82_1,TUTOR: Here is your next question. TUTOR: Go ahead. TUTOR: Is that your final answer? STUDENT: no mam TUTOR: Please recheck your answer.,No
2916421_82_2,"TUTOR: Here is your next question. TUTOR: Go ahead. TUTOR: Is that your final answer? STUDENT: no mam TUTOR: Ok, take your time",No
2925409_8_1,"TUTOR: For today, we will focus on ""Rounding."" STUDENT: ok TUTOR: What is the place value of 2 in 521? STUDENT: 200 TUTOR: [STUDENT], that was a good try. You are saying the value of 2 in 521. The question was to find the place value of 2 in 521. Let me help you with that step. Your scoreboard starts with 1 point for your try!",Yes
